source,target,value
Chuck Sheetz,Diedrich Bader,439
Tuck Tucker,Jennifer Jason Leigh,440
Timothy Björklund,Nathan Lane,441
Taedong Park,Drake Bell,442
Gerald Potterton,John Vernon,443
Martyn Pick,Sean Pertwee,444
Duke Johnson,Jennifer Jason Leigh,445
Tomm Moore,Sean Lennon,446
Katsuhiro Ôtomo,Mitsuo Iwata,447
Vincent Paronnaud,Catherine Deneuve,448
Vladlen Barbe,Erin Fitzgerald,449
Richard Rich,Debi Derryberry,450
Maurice Joyce,Frank Welker,451
Mamoru Hosoda,Lara Jill Miller,452
Bob Saget,Alyson Hannigan,453
Barrett Esposito,Chazz Palminteri,454
Jay Oliva,Michael Emerson,455
Kunihiko Yuyama,Veronica Taylor,456
Thorbjørn Christoffersen,Iben Hjejle,457
Jerry Rees,Jon Lovitz,458
James Algar,Leopold Stokowski,459
Sylvain Chomet,Michel Robin,460
Ari Folman,Ari Folman,461
Jugal Hansraj,Saif Ali Khan,462
William Cottrell,Adriana Caselotti,463
Deryck Broom,Vic Mignogna,464
James Algar,Sam Edwards,465
Matt Maiellaro,Tina Fey,466
Tim Johnson,Jim Parsons,467
Paul Fierlinger,Isabella Rossellini,468
Bill Plympton,Charis Michelsen,469
Bill Melendez,Peter Robbins,470
Nathan Greno,M.C. Gainey,471
Dan Scanlon,Sean Hayes,472
John Lasseter,Eddie Izzard,473
Lee Unkrich,Don Rickles,474
Peter Sohn,Peter Sohn,475
Mark Andrews,Julie Walters,476
Andrew Stanton,Jeff Garlin,477
Robert Zemeckis,Gary Oldman,478
Pete Docter,Jess Harnell,479
Rob Letterman,Stephen Colbert,480
Pete Docter,Phyllis Smith,481
Mike Mitchell,Mary Kay Place,482
Don Hall,Abraham Benrubi,483
Rich Moore,Joe Lo Truglio,484
Robert Zemeckis,Peter Scolari,485
Dean DeBlois,Craig Ferguson,486
Chris Miller,Rupert Everett,487
Brad Bird,Brian Dennehy,488
Eric Darnell,Cedric the Entertainer,489
Chris Buck,Livvy Stubenrauch,490
Byron Howard,James Lipton,491
Hoyt Yeatman,Niecy Nash,492
Steve Hickner,Rip Torn,493
Jennifer Yuh Nelson,Mike Bell,494
Simon Wells,Tom Everett Scott,495
David Bowers,David Suchet,496
Rob Minkoff,Karan Brar,497
Eric Darnell,Cedric the Entertainer,498
Robert Zemeckis,Sebastian Roché,499
Alessandro Carloni,Wayne Knight,500
Peter Ramsey,Khamani Griffin,501
Dean DeBlois,America Ferrera,502
Hironobu Sakaguchi,Jean Simmons,503
George Miller,Common,504
David Soren,Ben Schwartz,505
Gore Verbinski,Stephen Root,506
Eric Darnell,Andy Richter,507
Mark Osborne,Dan Fogler,508
Tim Johnson,April Winchell,509
Chris Miller,Amy Sedaris,510
Eric Leighton,Della Reese,511
Tom McGrath,Will Ferrell,512
Carlos Saldanha,Jeffrey Garcia,513
Rob Minkoff,Melanie Griffith,514
Pete Docter,James Coburn,515
Kirk De Micco,Nicolas Cage,516
Raja Gosnell,Madison McKinley,517
Will Finn,G.W. Bailey,518
Raja Gosnell,Vanessa Matsui,519
Ron Clements,Anika Noni Rose,520
Gary Trousdale,Bill Fagerbakke,521
Mark Dindal,John Fiedler,522
Chris Wedge,Troy Evans,523
Zack Snyder,Anthony LaPaglia,524
Ron Clements,Michael Wincott,525
Steve Martino,Bill Melendez,526
Ash Brannon,Jon Heder,527
Bibo Bergeron,Elton John,528
Steve Martino,Drake,529
Andrew Stanton,Brad Garrett,530
Brad Bird,Lou Romano,531
John Lasseter,Wayne Knight,532
Phil Lord,Al Roker,533
Carlos Saldanha,Kelly Keaton,534
Tony Bancroft,June Foray,535
Gary Trousdale,Cree Summer,536
Walt Becker,Jesse McCartney,537
Chris Columbus,Josh Gad,538
Carlos Saldanha,Will.i.am,539
George Miller,Elizabeth Daily,540
Genndy Tartakovsky,Jon Lovitz,541
Kevin Lima,Fred Tatasciore,542
Roger Allers,Jane Krakowski,543
Sarah Smith,Michael Palin,544
Tim Johnson,Catherine O'Hara,545
Dean DeBlois,David Ogden Stiers,546
Mike Mitchell,Lauren Gottlieb,547
Chris Wedge,Paula Abdul,548
Joe Pytka,Michael Jordan,549
Eric Brevig,Josh Robert Thompson,550
Kelly Asbury,Zahn McClarnon,551
Genndy Tartakovsky,Fran Drescher,552
James Algar,Russi Taylor,553
Barry Cook,Madison Rothschild,554
Joe Dante,Heather Locklear,555
Luc Besson,Penny Balfour,556
Andrés Couturier,Ben Diskin,557
Roger Allers,Niketa Calame,558
Cody Cameron,Melissa Sturm,559
Mark Osborne,Mackenzie Foy,560
Des McAnuff,Jonathan Winters,561
Yarrow Cheney,Albert Brooks,562
Pierre Coffin,Steve Coogan,563
Eric Darnell,Andy Richter,564
Carlos Saldanha,Jay Leno,565
Bibo Bergeron,Angelina Jolie Pitt,566
Gil Kenan,Catherine O'Hara,567
Don Bluth,Nathan Lane,568
Henry Selick,Megan Mullally,569
Kyle Balda,Steve Coogan,570
Clay Kaytis,Keegan-Michael Key,571
David Silverman,Marcia Wallace,572
Andrew Adamson,Conrad Vernon,573
John Lasseter,George Carlin,574
Paul Tibbitt,Eddie Deezen,575
Betty Thomas,Jesse McCartney,576
Bobby Farrelly,David Hyde Pierce,577
Will Finn,Jim Belushi,578
Pierre Coffin,Jack McBrayer,579
Chris Wedge,Denis Leary,580
David Bowers,Dee Bradley Baker,581
Tim Hill,Chelsea Handler,582
Mark Dindal,Amy Sedaris,583
Brenda Chapman,Eden Riegel,584
