source,target,value
Ang Lee,Anne Hathaway,265
Baz Luhrmann,Richard Roxburgh,266
Billy Wilder,David White,267
Billy Wilder,George Raft,268
Christian Carion,Ian Richardson,269
Danny Boyle,Ayush Mahesh Khedekar,270
David Fincher,Julia Ormond,271
David Lean,Geraldine Chaplin,272
David O. Russell,Bradley Cooper,273
Deepa Mehta,Eric Peterson,274
Deepa Mehta,Seema Biswas,275
Denys Arcand,Marina Hands,276
Elia Kazan,Rod Steiger,277
François Girard,Carlo Cecchi,278
Frank Capra,Thomas Mitchell,279
Frank Capra,Lionel Barrymore,280
Frank Capra,Walter Connolly,281
Fred Zinnemann,Deborah Kerr,282
Gabriele Muccino,Madison Pettis,283
Georg Wilhelm Pabst,Fritz Kortner,284
George Cukor,Theodore Bikel,285
George P. Cosmatos,Powers Boothe,286
Giovanni Zelko,Ben Youcef,287
Giuseppe Tornatore,Liya Kebede,288
Harold Ramis,Willie Garson,289
Howard Hawks,Harry Carey Jr.,290
Isabel Coixet,Amanda Plummer,291
Jaime Zevallos,Michael Elian,292
James Cameron,Gloria Stuart,293
James Ivory,Ben Chaplin,294
James Ivory,Simon Callow,295
James L. Brooks,Shirley Knight,296
James Mangold,Tyler Hilton,297
James Marsh,Simon McBurney,298
Jane Campion,Genevieve Lemon,299
Jean-Luc Godard,Graziella Galvani,300
Jean-Pierre Jeunet,Albert Dupontel,301
Jean-Pierre Jeunet,Isabelle Nanty,302
Jerome Robbins,Richard Beymer,303
Joe Wright,Brenda Blethyn,304
Joe Wright,Simon Woods,305
John Carney,Darren Healy,306
John Cromwell,Ronald Colman,307
Jonathan Levine,Bryce Dallas Howard,308
Josh Boone,Nat Wolff,309
Kay Pollak,Nils-Anders Vallgarda,310
Kenneth Branagh,Danny Webb,311
Kevin Jordan,Ion Overman,312
Kevin Reynolds,Michael Wincott,313
Kimberly Peirce,Jeannetta Arnette,314
King Vidor,Claire Adams,315
Lasse Hallstrom,Kevin Tighe,316
Lloyd Bacon,George Brent,317
Marc Forster,Danny Rhodes,318
Marc Webb,Zooey Deschanel,319
Mark Sandrich,Eric Blore,320
Matthew Vaughn,Nathaniel Parker,321
Michael Curtiz,Conrad Veidt,322
Michael Haneke,Jean-Louis Trintignant,323
Michael Mann,Eric Schweig,324
