source,target,value
Matthew Vaughn,Elizabeth McGovern,65.9
Matthew Vaughn,Michael Rispoli,66.2
Mel Brooks,Peter Boyle,66.5
Mel Brooks,David Huddleston,66.8
Mel Brooks,Madeline Kahn,67.1
Mel Brooks,Madeline Kahn,67.4
Mel Brooks,Teri Garr,67.7
Mel Brooks,Harvey Korman,68
Michael McGowan,Adam Butcher,68.3
Michael McGowan,Campbell Scott,68.6
Michael McGowan,Gordon Pinsent,68.9
Michel Hazanavicius,Ed Lauter,69.2
Michel Hazanavicius,Berenice Bejo,69.5
Michel Hazanavicius,Beth Grant,69.8
Mike Judge,Stephen Root,70.1
Mike Judge,Gary Cole,70.4
Mike Judge,Diedrich Bader,70.7
Mitchell Altieri,Luke Edwards,71
Mitchell Altieri,Kimberley Crossman,71.3
Mitchell Altieri,Bree Williamson,71.6
Nathan Greno,Donna Murphy,71.9
Nathan Greno,Brad Garrett,72.2
Nathan Greno,M.C. Gainey,72.5
Pedro Almod�var,Lola Due�as,72.8
Pedro Almod�var,Carmen Maura,73.1
Pedro Almod�var,Antonio de la Torre,73.4
Pete Docter,Delroy Lindo,73.7
Pete Docter,Mindy Kaling,74
Pete Docter,John Ratzenberger,74.3
Pete Docter,John Ratzenberger,74.6
Pete Docter,Amy Poehler,74.9
Pete Docter,Steve Buscemi,75.2
Pete Docter,Jess Harnell,75.5
Pete Docter,Phyllis Smith,75.8
Pete Docter,James Coburn,76.1
Peter Weir,Noah Emmerich,76.4
Peter Weir,Josh Charles,76.7
Peter Weir,Natascha McElhone,77
Peter Weir,Robin Williams,77.3
Peter Weir,Peter Krause,77.6
Peter Weir,Kurtwood Smith,77.9
Petter Næss,Per Christian Ellefsen,78.2
Petter Næss,Jørgen Langhelle,78.5
Petter Næss,Sven Nordin,78.8
Phil Lord,Will Ferrell,79.1
Phil Lord,Morgan Freeman,79.4
Phil Lord,Alison Brie,79.7
Pierre Coffin,Miranda Cosgrove,80
Pierre Coffin,Steve Carell,80.3
Pierre Coffin,Jack McBrayer,80.6
Rajkumar Hirani,Sanjay Dutt,80.9
Rajkumar Hirani,Vidya Balan,81.2
Rajkumar Hirani,Jimmy Shergill,81.5
Rakeysh Omprakash Mehra,Steven Mackintosh,81.8
Rakeysh Omprakash Mehra,Anupam Kher,82.1
Rakeysh Omprakash Mehra,Madhavan,82.4
Rich Moore,Sarah Silverman,82.7
Rich Moore,Jack McBrayer,83
Rich Moore,Joe Lo Truglio,83.3
Richard Curtis,Liam Neeson,83.6
Richard Curtis,Colin Firth,83.9
Richard Curtis,Kris Marshall,84.2
Richard Lester,Ringo Starr,84.5
Richard Lester,Paul McCartney,84.8
Richard Lester,George Harrison,85.1
Richard Linklater,Adam Goldberg,85.4
Richard Linklater,Milla Jovovich,85.7
Richard Linklater,Cole Hauser,86
Rob Reiner,Gretchen Palmer,86.3
Rob Reiner,Rebecca De Mornay,86.6
Rob Reiner,Bruno Kirby,86.9
Rob Reiner,Madeline Carroll,87.2
Rob Reiner,Harley Jane Kozak,87.5
Rob Reiner,Aidan Quinn,87.8
Robert Stevenson,Glynis Johns,88.1
Robert Stevenson,Ed Wynn,88.4
Robert Stevenson,Elsa Lanchester,88.7
Robert Zemeckis,Siobhan Fallon Hogan,89
Robert Zemeckis,Jeffrey Weissman,89.3
Robert Zemeckis,Thomas F. Wilson,89.6
Robert Zemeckis,Tom Hanks,89.9
Robert Zemeckis,Lea Thompson,90.2
Robert Zemeckis,Lea Thompson,90.5
Robert Zemeckis,Sam Anderson,90.8
Robert Zemeckis,Thomas F. Wilson,91.1
Robert Zemeckis,J.J. Cohen,91.4
Ron Clements,Frank Welker,91.7
Ron Clements,Robin Williams,92
Ron Clements,Scott Weinger,92.3
Ruben Fleischer,Bill Murray,92.6
Ruben Fleischer,Emma Stone,92.9
Ruben Fleischer,Derek Graf,93.2
Sam Raimi,Bridget Fonda,93.5
Sam Raimi,Dan Hicks,93.8
Sam Raimi,Patricia Tallman,94.1
Sam Raimi,Ted Raimi,94.4
Sam Raimi,Embeth Davidtz,94.7
Sam Raimi,Kassie Wesley DePaiva,95
Scott Smith,Daphne Zuniga,95.3
Scott Smith,Eric Mabius,95.6
Scott Smith,Crystal Lowe,95.9
Shane Black,Corbin Bernsen,96.2
Shane Black,Robert Downey Jr.,96.5
Shane Black,Larry Miller,96.8
Shane Meadows,Paddy Considine,97.1
Shane Meadows,Bob Hoskins,97.4
Shane Meadows,Shane Meadows,97.7
Spike Jonze,Meryl Streep,98
Spike Jonze,Orson Bean,98.3
Spike Jonze,Nicolas Cage,98.6
Spike Jonze,Willie Garson,98.9
Spike Jonze,Roger Willie,99.2
Spike Jonze,Mary Kay Place,99.5
Stanley Donen,Debbie Reynolds,99.8
Stanley Donen,Rita Moreno,100.1
Stanley Donen,Cyd Charisse,100.4
Stanley Kramer,Sid Caesar,100.7
Stanley Kramer,Jonathan Winters,101
Stanley Kramer,Spencer Tracy,101.3
Stanley Kubrick,Slim Pickens,101.6
Stanley Kubrick,George C. Scott,101.9
Stanley Kubrick,Keenan Wynn,102.2
Stephane Aubier,Megan Mullally,102.5
Stephane Aubier,Mackenzie Foy,102.8
Stephane Aubier,Lambert Wilson,103.1
Stephen Chow,Chi Ling Chiu,103.4
Stephen Chow,Shengyi Huang,103.7
Stephen Chow,Qiu Yuen,104
Stephen Frears,Lili Taylor,104.3
Stephen Frears,Drake Bell,104.6
Stephen Frears,Lisa Bonet,104.9
Sylvain Chomet,Charles Linton,105.2
Sylvain Chomet,Michel Robin,105.5
Sylvain Chomet,Beatrice Bonifassi,105.8
Terry Gilliam,David Hyde Pierce,106.1
Terry Gilliam,Michael Jeter,106.4
Terry Gilliam,Michael Palin,106.7
Terry Gilliam,Jeff Bridges,107
Terry Gilliam,Johnny Depp,107.3
Terry Gilliam,Eric Idle,107.6
Terry Gilliam,Harry Shearer,107.9
Terry Gilliam,Ellen Barkin,108.2
Terry Gilliam,Terry Jones,108.5
